holding;brand;position;name;linkedin;phone;email;telegram;source_url;notes
Ginza Project;LarisuVannuHochu;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;AVA;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;Loona;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;Patriki;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;Folk;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;Amber;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;Simach;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;Phantom;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;The Greeks;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;Queens;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;Medusa Asia;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;Rocky2;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;Narnia;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;Blondie;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;Restaurant №13;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Pinskiy & Co;Maya;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
White Rabbit Family;White Rabbit;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
White Rabbit Family;Selfie;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
White Rabbit Family;Sakhalin;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
White Rabbit Family;Luciano;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
White Rabbit Family;Red Fox;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
White Rabbit Family;Chicha;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
White Rabbit Family;Tehnikum;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
White Rabbit Family;Mushrooms;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
White Rabbit Family;Zodiac;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
White Rabbit Family;Горыныч;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
White Rabbit Family;IKRA;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
White Rabbit Family;Chef's Table;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
White Rabbit Family;WA Garden;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Maison Dellos;Кафе Пушкинъ;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Maison Dellos;Турандот;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Maison Dellos;Шинок;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Maison Dellos;Казбек;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Maison Dellos;Волна;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Maison Dellos;Фаренгейт;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Maison Dellos;Му-Му;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Maison Dellos;Бочка;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Maison Dellos;Матрешка;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Maison Dellos;Orange 3;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Rosinter Restaurants Holding;IL Патио;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Rosinter Restaurants Holding;Планета Суши;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Rosinter Restaurants Holding;TGI Fridays;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Rosinter Restaurants Holding;Costa Coffee;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Rosinter Restaurants Holding;Американский Бар и Гриль;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Rosinter Restaurants Holding;Шикари;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Family Garden;Kitana;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;https://familygarden.su/about/;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Family Garden;Ping Pong;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;https://familygarden.su/about/;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Family Garden;321 Club;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;https://familygarden.su/about/;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
Family Garden;Mandarin Mall проекты;Контакты управления (сводка);(см. contacts.csv — холдинг);;;;;https://familygarden.su/about/;"Именные управляющие/HR/event-менеджеры отдельных ресторанов в открытом доступе не найдены; используйте контакты холдинга"
